Name,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,State_Name,Sex_Ratio,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Child_Population_Ratio,Work_Participation_Rate,Male_Work_Rate,Female_Work_Rate,SC_Population_Percent,ST_Population_Percent,Dependency_Ratio,Gender_Literacy_Gap,Gender_Work_Gap
JAMMU & KASHMIR,2119718,12541302,6640662,5900640,2018905,1084355,934550,924991,486232,438759,1493299,776257,717042,7067233,4264671,2802562,5474069,2375991,3098078,4322713,3195090,1127623,2644149,2305788,338361,566469,486417,80052,159519,143071,16448,78826,58514,20312,1839335,1617786,221549,1678564,889302,789262,678847,279110,399737,388186,271273,116913,93760,32824,60936,517771,306095,211676,1201567,675679,525888,452472,200157,252315,272606,200263,72343,67175,26044,41131,409314,249215,160099,476997,213623,263374,226375,78953,147422,115580,71010,44570,26585,6780,19805,108457,56880,51577,8218589,3445572,4773017,JAMMU & KASHMIR,888.5620138474146,56.351669069128555,64.2205701780937,47.4958987499661,16.098049468866947,34.46781681838137,48.11402839054299,19.110181268472573,7.37555797635684,11.907049204301117,1.9012571503127782,16.724671428127593,29.003847122070418
HIMACHAL PRADESH,1483280,6864602,3481873,3382729,777898,407459,370439,1729252,876300,852952,392126,196118,196008,5039736,2752590,2287146,1824866,729283,1095583,3559422,2043373,1516049,2062501,1438989,623512,919786,514927,404859,68668,46235,22433,32691,24576,8115,1041356,853251,188105,1496921,604384,892537,1142276,391227,751049,106370,56825,49545,26028,12591,13437,222247,143741,78506,1025060,417179,607881,757017,248341,508676,81001,44651,36350,18352,9632,8720,168690,114555,54135,471861,187205,284656,385259,142886,242373,25369,12174,13195,7676,2959,4717,53557,29186,24371,3305180,1438500,1866680,HIMACHAL PRADESH,971.5256702355313,73.41628837330991,79.05486501087202,67.6124513669289,11.332018957544808,51.85183350760904,58.68602904241481,44.81733535261028,25.190855930176287,5.712290384788513,0.928572110865191,11.442413643943127,13.86869368980453
PUNJAB,5513071,27743338,14639465,13103873,3076219,1665994,1410225,8860179,4639875,4220304,0,0,0,18707137,10436056,8271081,9036201,4203409,4832792,9897362,8074157,1823205,8450936,7264631,1186305,1803860,1691777,112083,1168021,1013979,154042,300660,215971,84689,5178395,4342904,835491,1446426,809526,636900,130651,61582,69069,420434,225466,194968,85300,33323,51977,810041,489155,320886,1150415,661526,488889,98849,50454,48395,309258,178294,130964,65487,25262,40225,676821,407516,269305,296011,148000,148011,31802,11128,20674,111176,47172,64004,19813,8061,11752,133220,81639,51581,17845976,6565308,11280668,PUNJAB,895.1060028491479,67.42929419668246,71.2871406161359,63.11936173374085,11.088135825616947,35.67473387665176,55.15336113717271,13.91348191485067,31.93623997227731,0.0,1.8031043019341921,8.167778882395048,41.23987922232204
CHANDIGARH,241173,1055450,580663,474787,119434,63536,55898,199086,106356,92730,0,0,0,805438,465346,340092,250012,115317,134695,404136,328159,75977,385929,317190,68739,2169,1906,263,1396,1166,230,4219,3278,941,378145,310840,67305,18207,10969,7238,409,208,201,291,209,82,580,209,371,16927,10343,6584,15188,9057,6131,386,196,190,246,183,63,422,151,271,14134,8527,5607,3019,1912,1107,23,12,11,45,26,19,158,58,100,2793,1816,977,651314,252504,398810,CHANDIGARH,817.6636017793454,76.31228385996495,80.14046012919714,71.63043638515798,11.315931593159316,38.290397460798715,56.51453597008936,16.002333678049315,18.86266521388981,0.0,1.6116208405091355,8.51002374403916,40.512202292040044
UTTARAKHAND,2056975,10086292,5137773,4948519,1355814,717199,638615,1892516,968586,923930,291903,148669,143234,6880953,3863708,3017245,3205339,1274065,1931274,3872275,2551921,1320354,2870624,2070760,799864,1045674,545561,500113,247256,196375,50881,77040,54101,22939,1500654,1274723,225931,1001651,481161,520490,534749,189851,344898,156045,90165,65880,37272,15190,22082,273585,185955,87630,756840,373473,383367,383359,134058,249301,120549,73027,47522,28304,11744,16560,224628,154644,69984,244811,107688,137123,151390,55793,95597,35496,17138,18358,8968,3446,5522,48957,31311,17646,6214017,2585852,3628165,UTTARAKHAND,963.1641958490576,68.22083873835896,75.20199899839872,60.97268697968018,13.442145042003542,38.39146239272073,49.669788836525086,26.68180116111507,18.763248178815367,2.8940566067292126,1.6047457889741819,14.229312018718545,22.987987675410015
HARYANA,4857524,25351462,13494734,11856728,3380721,1843109,1537612,5113615,2709656,2403959,0,0,0,16598988,9794067,6804921,8752474,3700667,5051807,8916508,6806636,2109872,7015283,5860600,1154683,1963311,1632783,330528,891273,718444,172829,201375,159666,41709,3959324,3349707,609617,1901225,946036,955189,517490,156339,361151,636860,322797,314063,60905,26867,34038,685970,440033,245937,1510526,769060,741466,384678,112161,272517,504135,267790,236345,48022,21366,26656,573691,367743,205948,390699,176976,213723,132812,44178,88634,132725,55007,77718,12883,5501,7382,112279,72290,39989,16434954,6688098,9746856,HARYANA,878.6188745921186,65.47546646422207,72.57695483290001,57.392908060301295,13.335408427332515,35.17157314240891,50.439200950533746,17.794723805758217,20.1708879748237,0.0,1.84320520993196,15.18404677259872,32.64447714477553
NCT OF DELHI,3435999,16787941,8987326,7800615,2012454,1075440,937014,2812309,1488800,1323509,0,0,0,12737767,7194856,5542911,4050174,1792470,2257704,5587049,4762026,825023,5307329,4562710,744619,27759,24225,3534,31474,25632,5842,169126,146069,23057,5078970,4366784,712186,279720,199316,80404,5639,3233,2406,8001,5720,2281,12726,6689,6037,253354,183674,69680,235250,166929,68321,5267,3011,2256,6430,4578,1852,10127,5468,4659,213426,153872,59554,44470,32387,12083,372,222,150,1571,1142,429,2599,1221,1378,39928,29802,10126,11200892,4225300,6975592,NCT OF DELHI,867.9572767250237,75.87450420513153,80.05558049190604,71.05735893900673,11.987497454273873,33.280132447451415,52.98601608531837,10.576384041514675,16.75195904012291,0.0,2.0047957338480473,8.99822155289931,42.4096320438037
RAJASTHAN,12711146,68548437,35550997,32997440,10649504,5639176,5010328,12221593,6355564,5866029,9238534,4742943,4495591,38275282,23688412,14586870,30273155,11862585,18410570,29886255,18297076,11589179,21057968,15243537,5814431,9845353,6365757,3479596,2195304,1281039,914265,503067,360510,142557,8514244,7236231,1278013,8828287,3053539,5774748,3773517,1152729,2620788,2744360,851630,1892730,217506,75051,142455,2092904,974129,1118775,7015250,2406685,4608565,2934795,828209,2106586,2264029,708984,1555045,169282,59056,110226,1647144,810436,836708,1813037,646854,1166183,838722,324520,514202,480331,142646,337685,48224,15995,32229,445760,163693,282067,38662182,17253921,21408261,RAJASTHAN,928.1720003520576,55.8368413272501,66.63220162292495,44.206065682671145,15.535735701749115,43.59874026011709,51.467124817905955,35.12144881542326,17.829134455684233,13.477380964937247,1.2936442521821485,22.426135940253808,16.345676002482698
UTTAR PRADESH,33448035,199812341,104480510,95331831,30791331,16185581,14605750,41357608,21676975,19680633,1134273,581083,553190,114397555,68234964,46162591,85414786,36245546,49169240,65814715,49846762,15967953,44635492,37420299,7215193,15576415,13727429,1848986,9749915,7777577,1972338,2409436,1669471,739965,16899726,14245822,2653904,21179223,12426463,8752760,3481473,1784104,1697369,10189308,6025865,4163443,1489154,684665,804489,6019288,3931829,2087459,16885149,10156804,6728345,2659798,1403710,1256088,8047428,4914351,3133077,1122193,528267,593926,5055730,3310476,1745254,4294074,2269659,2024415,821675,380394,441281,2141880,1111514,1030366,366961,156398,210563,963558,621353,342205,133997626,54633748,79363878,UTTAR PRADESH,912.4365013149343,57.252497231890196,65.30879682727429,48.42306133824284,15.410124742995729,32.93826330777036,47.709148816367765,16.749865005739792,20.698225041064905,0.5676691411167641,2.0359827737611567,16.885735489031454,30.959283810627973
BIHAR,18913565,104099452,54278157,49821295,19133964,9887239,9246725,16567325,8606253,7961072,1336573,682516,654057,52504553,31608023,20896530,51594899,22670134,28924765,34724987,25222189,9502798,21359611,17270690,4088921,5413181,4688683,724498,9537418,7373292,2164126,779576,488797,290779,5629436,4719918,909518,13365376,7951499,5413877,1783045,1056737,726308,8808231,5197425,3610806,631632,273321,358311,2142468,1424016,718452,10922864,6728476,4194388,1446100,886729,559371,7211520,4416964,2794556,465751,213329,252422,1799493,1211454,588039,2442512,1223023,1219489,336945,170008,166937,1596711,780461,816250,165881,59992,105889,342975,212562,130413,69374465,29055968,40318497,BIHAR,917.8884795222505,50.43691584466746,58.23341238354869,41.94296836322701,18.380465633959343,33.3575118147596,46.468396117428966,19.073767552609784,15.914901261920186,1.2839385552192917,1.997825513944757,16.29044402032168,27.394628564819183
SIKKIM,129006,610577,323070,287507,64111,32761,31350,28275,14454,13821,206360,105261,101099,444952,251269,193683,165625,71801,93824,308138,194358,113780,230397,160513,69884,82707,50586,32121,11582,7145,4437,2888,2056,832,133220,100726,32494,77741,33845,43896,34694,12741,21953,14404,5738,8666,2255,891,1364,26388,14475,11913,54465,23668,30797,22306,7911,14395,10322,4001,6321,1485,582,903,20352,11174,9178,23276,10177,13099,12388,4830,7558,4082,1737,2345,770,309,461,6036,3301,2735,302439,128712,173727,SIKKIM,889.9216887980933,72.8740191654779,77.77540471105333,67.36635977558807,10.500067968495374,50.46668970498397,60.159717708236606,39.57468861627717,4.630865558316151,33.797539049128936,0.981505039949633,10.40904493546526,20.585029091959434
ARUNACHAL PRADESH,270577,1383727,713912,669815,212188,107624,104564,0,0,0,951821,468390,483431,766005,439868,326137,617722,274044,343678,587657,350273,237384,478721,301109,177612,248120,130008,118112,20259,11921,8338,4728,2772,1956,205614,156408,49206,108936,49164,59772,54603,22855,31748,15912,6456,9456,3637,1376,2261,34784,18477,16307,89305,40342,48963,43835,18493,25342,12948,5097,7851,2614,983,1631,29908,15769,14139,19631,8822,10809,10768,4362,6406,2964,1359,1605,1023,393,630,4876,2708,2168,796070,363639,432431,ARUNACHAL PRADESH,938.2318829211443,55.35810170647822,61.61375631730521,48.690608600882335,15.334527692239872,42.46914311854867,49.063890227366954,35.44023349730896,0.0,68.78676212865689,1.3546507571593633,12.923147716422875,13.623656730057995
NAGALAND,396002,1978502,1024649,953853,291071,149785,141286,0,0,0,1710973,866027,844946,1342434,723957,618477,636068,300692,335376,974122,547357,426765,741179,442204,298975,420379,208221,212158,22571,12899,9672,9525,4731,4794,288704,216353,72351,232943,105153,127790,117323,51233,66090,40391,18958,21433,13313,4752,8561,61916,30210,31706,141978,61126,80852,65525,26077,39448,22788,10209,12579,8339,2750,5589,45326,22090,23236,90965,44027,46938,51798,25156,26642,17603,8749,8854,4974,2002,2972,16590,8120,8470,1004380,477292,527088,NAGALAND,930.9070715923209,67.85103072930934,70.6541459563226,64.83986526225739,14.711685911866654,49.23533056827842,53.4189756687412,44.74117080933855,0.0,86.47820421712993,1.0310618177189306,5.814280694065204,8.677804859402649
MANIPUR,557859,2855794,1438586,1417208,375357,194484,180873,97328,48863,48465,1167422,588279,579143,1908476,1039858,868618,947318,398728,548590,1304610,739408,565202,974163,615135,359028,466768,281162,185606,45609,24534,21075,45924,14009,31915,415862,295430,120432,330447,124273,206174,107263,45947,61316,69309,21498,47811,45432,6861,38571,108443,49967,58476,260231,98584,161647,82008,34783,47225,51290,15744,35546,35389,5180,30209,91544,42877,48667,70216,25689,44527,25255,11164,14091,18019,5754,12265,10043,1681,8362,16899,7090,9809,1551184,699178,852006,MANIPUR,985.1395745544584,66.8282095977511,72.2833393345966,61.29079147168235,13.14370014083649,45.68291690507088,51.39824800185738,39.8813723885273,3.4080889587974483,40.8790690084789,1.1890020772491396,10.992547862914257,11.516875613330079
MIZORAM,222853,1097206,555339,541867,168531,85561,82970,1218,807,411,1036115,516294,519821,848175,438529,409646,249031,116810,132221,486705,290740,195965,415030,263305,151725,202514,121598,80916,26464,16601,9863,5459,3109,2350,180593,121997,58596,71675,27435,44240,27089,7884,19205,15323,5887,9436,2393,785,1608,26870,12879,13991,53724,19626,34098,19136,4954,14182,11554,4196,7358,1831,595,1236,21203,9881,11322,17951,7809,10142,7953,2930,5023,3769,1691,2078,562,190,372,5667,2998,2669,610501,264599,345902,MIZORAM,975.740943819901,77.30316822912015,78.9660009471692,75.59899384904413,15.36001443666914,44.35857988381398,52.35360743617862,36.164778441942396,0.11100923618718819,94.43213033833209,1.2543553076298786,3.3670070981250717,16.188828994236225
TRIPURA,855556,3673917,1874376,1799541,458014,234008,224006,654918,334370,320548,1166813,588327,578486,2804783,1501369,1303414,869134,373007,496127,1469521,1045326,424195,1077019,887881,189138,246707,210117,36590,201863,156850,45013,19296,12814,6482,609153,508100,101053,392502,157445,235057,49240,18751,30489,151755,57256,94499,22200,4671,17529,169307,76767,92540,298562,126729,171833,40681,15605,25076,125005,47995,77010,16244,3405,12839,116632,59724,56908,93940,30716,63224,8559,3146,5413,26750,9261,17489,5956,1266,4690,52675,17043,35632,2204396,829050,1375346,TRIPURA,960.0747128644413,76.34312370148808,80.09967050367696,72.43035863033963,12.466639828825747,39.99875337412359,55.76928001638946,23.572399850850857,17.826151216807563,31.759372898190136,1.5000779165455955,7.669311873337335,32.1968801655386
